Name,Rating,Types,City
Tasek Lama Recreational Park,4.5,"park, tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Royal Regalia Museum,4.4,"museum, tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Istana Nurul Iman,4.5,"tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Bandar Seri Begawan Waterfront,4.3,"tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Kianggeh Market,4.1,"tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Omar Ali Saifuddien Mosque,4.7,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Bandar Seri Begawan
Raja Isteri Pengiran Anak Hajah Saleha Bridge,4.7,"tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Church of Our Lady of Assumption Catholic Church,4.8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Bandar Seri Begawan
Gadong Night Market,4.2,"tourist_attraction, point_of_interest, establishment",Bandar Seri Begawan
Silver Jubilee Park,4.1,"park, tourist_attraction, point_of_interest, establishment",Kuala Belait
Belait Museum,3.8,"museum, tourist_attraction, point_of_interest, establishment",Kuala Belait
Masjid Mohammad Jamalul Alam,4.7,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Kuala Belait
Istana Kota Manggalela,4,"point_of_interest, establishment",Kuala Belait
Masjid Kampong Pandan,4.7,"mosque, place_of_worship, point_of_interest, establishment",Kuala Belait
Kuala Belait Clock Tower,3,"tourist_attraction, point_of_interest, establishment",Kuala Belait
Kuala Belait Waterfront,4.5,"park, point_of_interest, establishment",Kuala Belait
Billionth Barrel Monument,4.1,"tourist_attraction, point_of_interest, establishment",Kuala Belait
The Sugar Swing,4.8,"point_of_interest, establishment",Kuala Belait
Billionth Barrel Monument,4.1,"tourist_attraction, point_of_interest, establishment",Seria
Seria Energy Recreational Park,5,"park, point_of_interest, establishment",Seria
Sungai Basong Recreational Park,3.7,"park, tourist_attraction, point_of_interest, establishment",Tutong
Mercu Tanda Kenangan,4.7,"tourist_attraction, point_of_interest, establishment",Tutong
Tumpuan Telisai Recreational Park,4.5,"park, point_of_interest, establishment",Tutong
Tutong Skate Board Park,3,"point_of_interest, establishment",Tutong
Tatangan Persiaran Sungai Tutong,0,"park, point_of_interest, establishment",Tutong
Wasai Bedanu,3.3,"park, tourist_attraction, point_of_interest, establishment",Tutong
Damuan Recreational Park,4.1,"park, tourist_attraction, point_of_interest, establishment",Tutong
Petani Mall,4,"shopping_mall, point_of_interest, establishment",Tutong
Times Cineplex,4.2,"movie_theater, point_of_interest, establishment",Tutong
Royal Palace,4.3,"tourist_attraction, point_of_interest, establishment",Phnom Penh
Tuol Sleng Genocide Museum,4.6,"museum, tourist_attraction, point_of_interest, establishment",Phnom Penh
Independence Monument,4.5,"tourist_attraction, point_of_interest, establishment",Phnom Penh
Choeung Ek Genocidal Center,4.6,"cemetery, museum, tourist_attraction, point_of_interest, establishment",Phnom Penh
Wat Phnom Daun Penh,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Phnom Penh
National Museum of Cambodia,4.1,"museum, tourist_attraction, point_of_interest, establishment",Phnom Penh
Sisowath Riverside Park,4.4,"park, tourist_attraction, point_of_interest, establishment",Phnom Penh
Wat Botum Park,4.4,"park, tourist_attraction, point_of_interest, establishment",Phnom Penh
Statue of Sihanouk Norodom,4.6,"tourist_attraction, park, point_of_interest, establishment",Phnom Penh
Russian Tuol Tompoung Market,4.1,"point_of_interest, establishment",Phnom Penh
Angkor National Museum,4.3,"museum, tourist_attraction, point_of_interest, establishment",Siem Reap
Ta Prohm Temple,4.8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Siem Reap
Preah Khan Temple,4.7,"tourist_attraction, place_of_worship, point_of_interest, establishment",Siem Reap
Pre Rup,4.6,"tourist_attraction, place_of_worship, point_of_interest, establishment",Siem Reap
Eastern Mebon,4.6,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Siem Reap
Bayon Temple,4.8,"tourist_attraction, hindu_temple, place_of_worship, point_of_interest, establishment",Siem Reap
Angkor Wat,4.8,"tourist_attraction, hindu_temple, place_of_worship, point_of_interest, establishment",Siem Reap
Artisans Angkor,4.3,"tourist_attraction, point_of_interest, establishment",Siem Reap
Thommanon,4.6,"tourist_attraction, point_of_interest, establishment",Siem Reap
Ek Phnom Pagoda,4.2,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Battambang
Wat Samrong Knong,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Battambang
Damrey Sor Pagoda,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Battambang
Battambang Crocodile Farm,3.9,"tourist_attraction, point_of_interest, establishment",Battambang
Lok Ta Dambong Kra Nhoung Shrine,4.5,"place_of_worship, tourist_attraction, point_of_interest, establishment",Battambang
Wat Kandal,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Battambang
The Well of Shadows,4.2,"museum, tourist_attraction, point_of_interest, establishment",Battambang
Wat Leu Pagoda,4.1,"tourist_attraction, place_of_worship, point_of_interest, establishment",Sihanoukville
Phsar Leu Market,4.1,"tourist_attraction, point_of_interest, establishment",Sihanoukville
Saracen Bay Beach,4.2,"tourist_attraction, point_of_interest, establishment",Sihanoukville
Long Set Beach,4.7,"tourist_attraction, point_of_interest, establishment",Sihanoukville
Beach Des Rogations,4.2,"tourist_attraction, point_of_interest, establishment",Sihanoukville
Sandy Beach,4.8,"tourist_attraction, point_of_interest, establishment",Sihanoukville
Kbal Chhay Waterfalls,4.1,"park, point_of_interest, establishment",Sihanoukville
Pier 52,3.8,"tourist_attraction, travel_agency, point_of_interest, establishment",Sihanoukville
Teuk Chhou Rapids,4,"tourist_attraction, point_of_interest, establishment",Kampot
Durian Roundabout,4.3,"tourist_attraction, point_of_interest, establishment",Kampot
Wat Traeuy Kaoh,4.5,"tourist_attraction, place_of_worship, point_of_interest, establishment",Kampot
Veal Pouch Waterfall,4,"tourist_attraction, point_of_interest, establishment",Kampot
Popokvil Waterfall,3.9,"tourist_attraction, point_of_interest, establishment",Kampot
Kampot Night Market,4,"point_of_interest, establishment",Kampot
Preah Monivong Bokor National Park,4.3,"tourist_attraction, park, point_of_interest, establishment",Kampot
New Kampot Roundabout,4.1,"tourist_attraction, point_of_interest, establishment",Kampot
Coconut Beach,3.6,"tourist_attraction, point_of_interest, establishment",Kampot
Phnom Sambok Pagoda,4.2,"tourist_attraction, place_of_worship, point_of_interest, establishment",Kratie
Kampi Mega Rapid,4.4,"tourist_attraction, point_of_interest, establishment",Kratie
Mekong Dolphin Pleasance,4.3,"tourist_attraction, point_of_interest, establishment",Kratie
Child Garden,4.4,"park, point_of_interest, establishment",Kratie
Koh Samseb Community Based Ecotourism,4.4,"tourist_attraction, point_of_interest, establishment",Kratie
Bothom Rangsei Pagoda,4.6,"place_of_worship, point_of_interest, establishment",Kratie
Krong Kracheh Pagoda,4.1,"place_of_worship, point_of_interest, establishment",Kratie
Nokor Bachey Pagoda,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Kratie
Kep National Park,4.2,"tourist_attraction, park, point_of_interest, establishment",Kep
Wat Samathi Pagoda,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Kep
Krung Kep Blue Swimmer Crab Statue,4.2,"tourist_attraction, point_of_interest, establishment",Kep
Kep City,4.4,"tourist_attraction, travel_agency, point_of_interest, establishment",Kep
Pantai Kep,4,"tourist_attraction, point_of_interest, establishment",Kep
Kep Butterfly Garden,4.7,"park, point_of_interest, establishment",Kep
White Lady Statue,4.1,"tourist_attraction, point_of_interest, establishment",Kep
Teuk Chhou Rapids,4,"tourist_attraction, point_of_interest, establishment",Kep
Rabbit Island Port,4.3,"tourist_attraction, point_of_interest, establishment",Kep
Tatai Waterfall,4.4,"tourist_attraction, point_of_interest, establishment",Koh Kong
Beautiful Bays Statue,4.5,"tourist_attraction, point_of_interest, establishment",Koh Kong
Peam Krasaop Wildlife Sanctuary,4.3,"tourist_attraction, zoo, park, point_of_interest, establishment",Koh Kong
Khun Chhang Historical Stupa,4.3,"point_of_interest, establishment",Koh Kong
Chiphat Village,4.3,"tourist_attraction, point_of_interest, establishment",Koh Kong
Suropati Park,4.6,"tourist_attraction, park, point_of_interest, establishment",Jakarta
Museum Nasional,4.6,"museum, tourist_attraction, point_of_interest, establishment",Jakarta
Taman Mini Indonesia Indah,4.5,"museum, tourist_attraction, amusement_park, park, point_of_interest, establishment",Jakarta
Museum Bank Indonesia,4.7,"museum, tourist_attraction, point_of_interest, establishment",Jakarta
Wayang Museum,4.5,"museum, tourist_attraction, point_of_interest, establishment",Jakarta
Atlantis Water Adventures Ancol,4.5,"tourist_attraction, amusement_park, point_of_interest, establishment",Jakarta
National Monument,4.6,"tourist_attraction, point_of_interest, establishment",Jakarta
Museum of Textile,4.5,"museum, tourist_attraction, point_of_interest, establishment",Jakarta
Bungkul Park,4.6,"tourist_attraction, park, point_of_interest, establishment",Surabaya
Surabaya Submarine Monument,4.5,"point_of_interest, establishment",Surabaya
Sanggar Agung Temple,4.5,"tourist_attraction, place_of_worship, point_of_interest, establishment",Surabaya
Muhammad Cheng Hoo Mosque,4.7,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Surabaya
Monumen Perjuangan Polisi Republik Indonesia,4.5,"tourist_attraction, park, point_of_interest, establishment",Surabaya
Bambu Runcing,4.7,"tourist_attraction, point_of_interest, establishment",Surabaya
Apsari Park,4.6,"park, tourist_attraction, point_of_interest, establishment",Surabaya
Monumen Patung Gubernur Suryo,4.4,"tourist_attraction, point_of_interest, establishment",Surabaya
Suro and Boyo Statue,4.6,"tourist_attraction, point_of_interest, establishment",Surabaya
Rabbit Town,4,"tourist_attraction, point_of_interest, establishment",Bandung
Gedung Sate,4.7,"tourist_attraction, point_of_interest, establishment",Bandung
Tebing Keraton,4.5,"tourist_attraction, park, point_of_interest, establishment",Bandung
Taman Balai Kota Bandung,4.6,"tourist_attraction, park, point_of_interest, establishment",Bandung
Monumen Bandung Lautan Api,4.3,"tourist_attraction, point_of_interest, establishment",Bandung
Grand Mosque of Trans Studio,4.8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Bandung
Asia Africa Monument,4.6,"tourist_attraction, point_of_interest, establishment",Bandung
Indonesia Menggugat Building,4.5,"tourist_attraction, museum, point_of_interest, establishment",Bandung
Tjong A Fie Mansion,4.6,"tourist_attraction, museum, point_of_interest, establishment",Medan
State Museum of North Sumatra,4.5,"museum, tourist_attraction, point_of_interest, establishment",Medan
Sri Deli Park,4.4,"park, tourist_attraction, point_of_interest, establishment",Medan
Mariamman Temple,4.6,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Medan
Penangkaran Buaya Asam Kumbang,4.2,"zoo, tourist_attraction, park, point_of_interest, establishment",Medan
Maha Vihara Maitreya,4.7,"tourist_attraction, place_of_worship, point_of_interest, establishment",Medan
Vihara Gunung Timur,4.7,"tourist_attraction, place_of_worship, point_of_interest, establishment",Medan
Graha Bunda Maria Annai Velangkanni,4.8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Medan
RivaPark,4.7,"park, point_of_interest, establishment",Medan
Kota Lama Semarang,4.7,"tourist_attraction, point_of_interest, establishment",Semarang
Lawang Sewu,4.6,"museum, tourist_attraction, point_of_interest, establishment",Semarang
Semarang Chinatown,4.5,"tourist_attraction, point_of_interest, establishment",Semarang
Waroeng Semawis,4.5,"tourist_attraction, point_of_interest, establishment",Semarang
Museum Mandala Bhakti,4.7,"tourist_attraction, museum, point_of_interest, establishment",Semarang
Wisata Sam Poo Kong,4.5,"place_of_worship, tourist_attraction, point_of_interest, establishment",Semarang
Lumina Grand Maerakaca,4.6,"tourist_attraction, point_of_interest, establishment",Semarang
Kampung Batik Gedong Semarang,4.4,"tourist_attraction, point_of_interest, establishment",Semarang
Anjungan Kota Semarang,4.5,"museum, tourist_attraction, point_of_interest, establishment",Semarang
Tabanas Park Semarang,4.4,"park, tourist_attraction, point_of_interest, establishment",Semarang
The Palace of Yogyakarta,4.6,"tourist_attraction, point_of_interest, establishment",Yogyakarta
Taman Sari,4.6,"tourist_attraction, point_of_interest, establishment",Yogyakarta
Taman Pintar Yogyakarta,4.5,"tourist_attraction, museum, point_of_interest, establishment",Yogyakarta
Vredeburg Museum,4.6,"tourist_attraction, museum, point_of_interest, establishment",Yogyakarta
Bringin Kembar Yogyakarta,4.6,"tourist_attraction, point_of_interest, establishment",Yogyakarta
Museum Kereta Karaton,4.7,"tourist_attraction, museum, point_of_interest, establishment",Yogyakarta
Malioboro Yogyakarta,4.8,"tourist_attraction, shopping_mall, point_of_interest, establishment",Yogyakarta
Gereja Sayidan,4.3,"tourist_attraction, point_of_interest, establishment",Yogyakarta
Gedung Agung Yogyakarta,4.6,"tourist_attraction, point_of_interest, establishment",Yogyakarta
Unit Galeri Museum Sonobudoyo,4.7,"tourist_attraction, museum, point_of_interest, establishment",Yogyakarta
Fort Rotterdam Makassar,4.5,"museum, tourist_attraction, point_of_interest, establishment",Makassar
Pulau Kodingareng Keke,4.7,"tourist_attraction, point_of_interest, establishment",Makassar
Pantai Losari,4.6,"tourist_attraction, point_of_interest, establishment",Makassar
La Galigo Museum,4.4,"museum, tourist_attraction, point_of_interest, establishment",Makassar
Great Mosque of Makassar,4.8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Makassar
Bugis Waterpark Adventure,4.4,"amusement_park, tourist_attraction, point_of_interest, establishment",Makassar
Vihara Girinaga,4.8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Makassar
Klenteng Ibu Agung Bahari,4.7,"tourist_attraction, place_of_worship, point_of_interest, establishment",Makassar
Kuto Besak Fortress,4.5,"tourist_attraction, point_of_interest, establishment",Palembang
Tugu Ikan Belido,4.5,"tourist_attraction, point_of_interest, establishment",Palembang
Palembang Bird Park,4.3,"tourist_attraction, amusement_park, point_of_interest, establishment",Palembang
Sultan Mahmud Badaruddin II Museum,4.5,"museum, tourist_attraction, point_of_interest, establishment",Palembang
Sekanak Sidewalk,4.3,"tourist_attraction, point_of_interest, establishment",Palembang
Amanzi Waterpark,4.4,"tourist_attraction, amusement_park, point_of_interest, establishment",Palembang
Taman Kambang Iwak Besak,4.5,"park, point_of_interest, establishment",Palembang
Masjid Lawang Kidul,4.8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Palembang
Benteng,5,"tourist_attraction, point_of_interest, establishment",Palembang
Puri Agung Denpasar,4.6,"tourist_attraction, hindu_temple, place_of_worship, point_of_interest, establishment",Denpasar
Bajra Sandhi Monument,4.6,"tourist_attraction, point_of_interest, establishment",Denpasar
Big Garden Corner,4.3,"tourist_attraction, point_of_interest, establishment",Denpasar
Agung Jagatnatha Temple,4.7,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Denpasar
Bali Museum,4.4,"museum, tourist_attraction, point_of_interest, establishment",Denpasar
Interactive Art Museum Bali,4.6,"museum, tourist_attraction, point_of_interest, establishment",Denpasar
Werdhi Budaya Art Centre,4.6,"tourist_attraction, point_of_interest, establishment",Denpasar
Daerah tujuan wisata tukad bindu,4.5,"park, tourist_attraction, point_of_interest, establishment",Denpasar
Hok Lay Kiong Temple,4.7,"tourist_attraction, place_of_worship, point_of_interest, establishment",Bekasi
Danau Summarecon,4.7,"tourist_attraction, point_of_interest, establishment",Bekasi
Monumen Kali Bekasi,4.2,"tourist_attraction, point_of_interest, establishment",Bekasi
Taman Kota Bekasi,4.5,"park, tourist_attraction, point_of_interest, establishment",Bekasi
Situ Rawa Gede Kota Bekasi,4.4,"tourist_attraction, travel_agency, point_of_interest, establishment",Bekasi
Gedung Juang 45 Bekasi,4.6,"museum, tourist_attraction, point_of_interest, establishment",Bekasi
Pura Agung Tirta Bhuana Bekasi,4.7,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Bekasi
Venetian Water Carnaval,4.2,"tourist_attraction, amusement_park, point_of_interest, establishment",Bekasi
Taman Kemang Pratama,4.5,"park, tourist_attraction, point_of_interest, establishment",Bekasi
Curug Parigi,3.8,"tourist_attraction, point_of_interest, establishment",Bekasi
Scientia Square Park,4.5,"park, tourist_attraction, point_of_interest, establishment",Tangerang
Cisadane Walk,4.6,"park, tourist_attraction, point_of_interest, establishment",Tangerang
Taman Potret,4.5,"park, tourist_attraction, point_of_interest, establishment",Tangerang
Tugu Adipura Kota Tangerang,4.5,"tourist_attraction, point_of_interest, establishment",Tangerang
Broadway Alam Sutera,4.6,"tourist_attraction, shopping_mall, food, point_of_interest, establishment",Tangerang
Benteng Heritage Museum,4.5,"museum, tourist_attraction, point_of_interest, establishment",Tangerang
Boen Tek Bio Chinese Temple,4.8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Tangerang
Vihara Padumuttara,4.8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Tangerang
Vihara Boen San Bio,4.8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Tangerang
Kujang Monument,4.7,"tourist_attraction, point_of_interest, establishment",Bogor
Bogor Botanical Gardens,4.7,"tourist_attraction, park, point_of_interest, establishment",Bogor
Museum Tanah dan Pertanian,4.7,"museum, tourist_attraction, point_of_interest, establishment",Bogor
The Jungle Water Adventure,4.5,"tourist_attraction, amusement_park, point_of_interest, establishment",Bogor
Kuntum Farmfield,4.5,"tourist_attraction, park, point_of_interest, establishment",Bogor
Parahyangan Agung Jagatkartta,4.8,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",Bogor
Taman Safari Indonesia Bogor,4.7,"zoo, tourist_attraction, park, point_of_interest, establishment",Bogor
Church of Zebaoth,4.8,"church, tourist_attraction, place_of_worship, point_of_interest, establishment",Bogor
Ho Phrakeo Museum,4.3,"museum, tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Wat Sisaket,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Wat Si Muang,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Chao Anouvong Park,4.1,"tourist_attraction, park, point_of_interest, establishment",Vientiane
That Dam,3.9,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Pha That Luang Vientiane,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Wat Ong Teu,4.4,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
COPE Visitor Centre,4.7,"museum, tourist_attraction, cafe, hospital, health, point_of_interest, food, establishment",Vientiane
Wat That Khao,3.9,"tourist_attraction, place_of_worship, point_of_interest, establishment",Vientiane
Nam Phou Fountain,3.9,"tourist_attraction, park, point_of_interest, establishment",Vientiane
Wat Xiengthong,4.5,"place_of_worship, tourist_attraction, point_of_interest, establishment",Luang Prabang
Royal Palace,4.1,"tourist_attraction, museum, point_of_interest, establishment",Luang Prabang
Phousi Hill,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Luang Prabang
Haw Pha Bang,4.3,"place_of_worship, tourist_attraction, point_of_interest, establishment",Luang Prabang
Wat May Souvannapoumaram,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Luang Prabang
Wat Chom Si,4.5,"tourist_attraction, place_of_worship, point_of_interest, establishment",Luang Prabang
Wat Manorom,4.5,"tourist_attraction, place_of_worship, point_of_interest, establishment",Luang Prabang
Wat Nong Sikhounmuang,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Luang Prabang
Khopfa Mekong Cruise,4.9,"tourist_attraction, point_of_interest, establishment",Luang Prabang
Luang Prabang morning market,4.4,"tourist_attraction, point_of_interest, establishment",Luang Prabang
Wat Luang,4.3,"tourist_attraction, place_of_worship, point_of_interest, establishment",Pakse
